id	title	term	exam	module	status	docx_path	pdf_path	text_path	modified_at
001	 term 1_ FTM General principles Review (BSCE1 prep).docx	Term 1	Unknown	ER	Reference	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/ term 1_ FTM General principles Review (BSCE1 prep).docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/ term 1_ FTM General principles Review (BSCE1 prep).pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/ term 1_ FTM General principles Review (BSCE1 prep).txt	2021-01-10 16:05
002	_term 1_ FTM General principles Review (BSCE1 prep).docx	Term 1	Unknown	ER	Reference	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/_term 1_ FTM General principles Review (BSCE1 prep).docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/_term 1_ FTM General principles Review (BSCE1 prep).pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/_term 1_ FTM General principles Review (BSCE1 prep).txt	2026-04-30 15:31
003	Exam 1 ER Term 2 Fall 2020  Firehouse MedPrep Schedule.docx	Term 2	Exam 1	ER	Reference	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/Exam 1 ER Term 2 Fall 2020  Firehouse MedPrep Schedule.docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/Exam 1 ER Term 2 Fall 2020  Firehouse MedPrep Schedule.pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/Exam 1 ER Term 2 Fall 2020  Firehouse MedPrep Schedule.txt	2021-01-11 08:17
004	Exam 2 DM Term 2 Fall 2020  Firehouse MedPrep Schedule.docx	Term 2	Exam 2	DM	Reference	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/Exam 2 DM Term 2 Fall 2020  Firehouse MedPrep Schedule.docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/Exam 2 DM Term 2 Fall 2020  Firehouse MedPrep Schedule.pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/Exam 2 DM Term 2 Fall 2020  Firehouse MedPrep Schedule.txt	2020-12-10 05:38
005	Exam 3 NB 1  Term 2 Fall 2020  Firehouse MedPrep Schedule.docx	Term 2	Exam 3	NB 1	Reference	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/Exam 3 NB 1  Term 2 Fall 2020  Firehouse MedPrep Schedule.docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/Exam 3 NB 1  Term 2 Fall 2020  Firehouse MedPrep Schedule.pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/Exam 3 NB 1  Term 2 Fall 2020  Firehouse MedPrep Schedule.txt	2020-12-10 05:38
006	Exam 4 NB 2  Term 2 Fall 2020  Firehouse MedPrep Schedule.docx	Term 2	Exam 4	NB 2	Reference	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/Exam 4 NB 2  Term 2 Fall 2020  Firehouse MedPrep Schedule.docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/Exam 4 NB 2  Term 2 Fall 2020  Firehouse MedPrep Schedule.pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/Exam 4 NB 2  Term 2 Fall 2020  Firehouse MedPrep Schedule.txt	2020-12-10 05:39
007	Exam 5 NB 3_Psych Term 2 Fall 2020 IN PROGRESS  Firehouse MedPrep Schedule.docx	Term 2	Exam 5	NB 3 / Psych	In Progress / Older	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/Exam 5 NB 3_Psych Term 2 Fall 2020 IN PROGRESS  Firehouse MedPrep Schedule.docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/Exam 5 NB 3_Psych Term 2 Fall 2020 IN PROGRESS  Firehouse MedPrep Schedule.pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/Exam 5 NB 3_Psych Term 2 Fall 2020 IN PROGRESS  Firehouse MedPrep Schedule.txt	2020-12-12 11:55
008	NEW-Exam-1-Term-4-Schedule 2021.docx	Unknown	Exam 1	ER	Updated	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/NEW-Exam-1-Term-4-Schedule 2021.docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/NEW-Exam-1-Term-4-Schedule 2021.pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/NEW-Exam-1-Term-4-Schedule 2021.txt	2021-02-22 11:39
009	Summer_ POST term 1 (Term 2 prep_BSCE1 prep).docx	Term 2	Unknown	ER	Reference	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/Summer_ POST term 1 (Term 2 prep_BSCE1 prep).docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/Summer_ POST term 1 (Term 2 prep_BSCE1 prep).pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/Summer_ POST term 1 (Term 2 prep_BSCE1 prep).txt	2021-10-03 09:26
010	Term 3 schedule 2020.docx	Term 3	Unknown	ER	Reference	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/Term 3 schedule 2020.docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/Term 3 schedule 2020.pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/Term 3 schedule 2020.txt	2021-05-29 07:21
011	Term 4, Exam 3 (Fries & Redbull) Spring 2021update.docx	Term 4	Exam 3	ER	Updated	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/Term 4, Exam 3 (Fries & Redbull) Spring 2021update.docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/Term 4, Exam 3 (Fries & Redbull) Spring 2021update.pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/Term 4, Exam 3 (Fries & Redbull) Spring 2021update.txt	2021-05-14 07:41
012	Updated Term 4, Exam 2 (Fries & Redbull) Spring 2021.docx	Term 4	Exam 2	ER	Updated	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/Updated Term 4, Exam 2 (Fries & Redbull) Spring 2021.docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/Updated Term 4, Exam 2 (Fries & Redbull) Spring 2021.pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/Updated Term 4, Exam 2 (Fries & Redbull) Spring 2021.txt	2021-03-28 20:25
013	Updated Term 4, Exam 4 Schedule (fries & redbull) Spring 2021.docx	Term 4	Exam 4	ER	Updated	/Users/jd/Medical School/09 Admin/Schedules/Source DOCX/Updated Term 4, Exam 4 Schedule (fries & redbull) Spring 2021.docx	/Users/jd/Medical School/09 Admin/Schedules/PDF Previews/Updated Term 4, Exam 4 Schedule (fries & redbull) Spring 2021.pdf	/Users/jd/Medical School/09 Admin/Schedules/Text Extracts/Updated Term 4, Exam 4 Schedule (fries & redbull) Spring 2021.txt	2021-05-14 07:41
